subject,object,predicate
Esso,petroleum industry,IN_INDUSTRY
Esso,ExxonMobil,OWNED_BY
Pemex,business,IS_A
Pemex,petroleum industry,IN_INDUSTRY
Pemex,government-owned corporation,IS_A
Pemex,Federal government of Mexico,OWNED_BY
Trans Austria Gas Pipeline,gas pipeline,IS_A
Trans Austria Gas Pipeline,petroleum industry,IN_INDUSTRY
Braskem,business,IS_A
Braskem,enterprise,IS_A
Braskem,petroleum industry,IN_INDUSTRY
Braskem,S.A.,IS_A
Braskem,New York Stock Exchange,TRADES_ON
Braskem,B3,TRADES_ON
Braskem,Odebrecht,OWNED_BY
LUKOIL Neftochim Burgas,oil refinery,IS_A
LUKOIL Neftochim Burgas,petroleum industry,IN_INDUSTRY
Hellenic Petroleum,business,IS_A
Hellenic Petroleum,enterprise,IS_A
Hellenic Petroleum,petroleum industry,IN_INDUSTRY
Hellenic Petroleum,joint-stock company,IS_A
Hellenic Petroleum,Spiros Latsis,OWNED_BY
Sasol,business,IS_A
Sasol,enterprise,IS_A
Sasol,petroleum industry,IN_INDUSTRY
Sasol,joint-stock company,IS_A
Sasol,New York Stock Exchange,TRADES_ON
Oltchim S.A.,business,IS_A
Oltchim S.A.,enterprise,IS_A
Oltchim S.A.,petroleum industry,IN_INDUSTRY
Oltchim S.A.,joint-stock company,IS_A
Union Carbide,business,IS_A
Union Carbide,enterprise,IS_A
Union Carbide,petroleum industry,IN_INDUSTRY
Union Carbide,joint-stock company,IS_A
Reliance Industries Limited,business,IS_A
Reliance Industries Limited,enterprise,IS_A
Reliance Industries Limited,petroleum industry,IN_INDUSTRY
Reliance Industries Limited,joint-stock company,IS_A
Reliance Industries Limited,National Stock Exchange of India,TRADES_ON
Reliance Industries Limited,Mukesh Ambani,OWNED_BY
ALFA Group,business,IS_A
ALFA Group,petroleum industry,IN_INDUSTRY
ALFA Group,Mexican Stock Exchange,TRADES_ON
ALFA Group,Bolsa de Madrid,TRADES_ON
Williams Companies,energy company,IS_A
Williams Companies,petroleum industry,IN_INDUSTRY
Williams Companies,joint-stock company,IS_A
Williams Companies,New York Stock Exchange,TRADES_ON
Kinder Morgan,business,IS_A
Kinder Morgan,enterprise,IS_A
Kinder Morgan,petroleum industry,IN_INDUSTRY
Kinder Morgan,joint-stock company,IS_A
Kinder Morgan,New York Stock Exchange,TRADES_ON
Trans-Alaska Pipeline System,oil pipeline,IS_A
Trans-Alaska Pipeline System,petroleum industry,IN_INDUSTRY
Murphy Oil,business,IS_A
Murphy Oil,enterprise,IS_A
Murphy Oil,petroleum industry,IN_INDUSTRY
Murphy Oil,public company,IS_A
Murphy Oil,New York Stock Exchange,TRADES_ON
Total Petrochemicals USA,business,IS_A
Total Petrochemicals USA,petroleum industry,IN_INDUSTRY
PKN Orlen,business,IS_A
PKN Orlen,enterprise,IS_A
PKN Orlen,petroleum industry,IN_INDUSTRY
PKN Orlen,Spółka akcyjna,IS_A
PKN Orlen,Warsaw Stock Exchange,TRADES_ON
PKN Orlen,State Treasury,OWNED_BY
PKN Orlen,Nationale-Nederlanden OFE,OWNED_BY
Sunray,city of the United States,IS_A
Sunray,petroleum industry,IN_INDUSTRY
Bumi Resources,business,IS_A
Bumi Resources,petroleum industry,IN_INDUSTRY
Campsa,business,IS_A
Campsa,petroleum industry,IN_INDUSTRY
KazMunaiGas Exploration Production,business,IS_A
KazMunaiGas Exploration Production,enterprise,IS_A
KazMunaiGas Exploration Production,petroleum industry,IN_INDUSTRY
KazMunaiGas Exploration Production,joint-stock company,IS_A
Castrol,business,IS_A
Castrol,enterprise,IS_A
Castrol,petroleum industry,IN_INDUSTRY
Castrol,private company limited by shares,IS_A
Castrol,New York Stock Exchange,TRADES_ON
Castrol,BP,OWNED_BY
Cenovus Energy,business,IS_A
Cenovus Energy,petroleum industry,IN_INDUSTRY
Cenovus Energy,corporation,IS_A
Cenovus Energy,New York Stock Exchange,TRADES_ON
Cenovus Energy,Toronto Stock Exchange,TRADES_ON
Sonatrach,business,IS_A
Sonatrach,petroleum industry,IN_INDUSTRY
Sonatrach,government-owned corporation,IS_A
Comgás,business,IS_A
Comgás,petroleum industry,IN_INDUSTRY
Comgás,B3,TRADES_ON
Comgás,Cosan,OWNED_BY
OGK-2,business,IS_A
OGK-2,enterprise,IS_A
OGK-2,petroleum industry,IN_INDUSTRY
OGK-2,RAO UES,WAS_PREVIOUSLY
OGK-2,OGK-6,WAS_PREVIOUSLY
OGK-2,joint-stock company,IS_A
OGK-2,Moscow Exchange,TRADES_ON
Rosneft,government-owned corporation,IS_A
Rosneft,business,IS_A
Rosneft,petroleum industry,IN_INDUSTRY
Rosneft,open joint-stock company,IS_A
Rosneft,London Stock Exchange,TRADES_ON
Rosneft,Moscow Exchange,TRADES_ON
Rosneft,Government of Russia,OWNED_BY
Madagascar Oil,company,IS_A
Madagascar Oil,petroleum industry,IN_INDUSTRY
Madagascar Oil,company,IS_A
Seven Sisters,petroleum industry,IN_INDUSTRY
Saga Petroleum,business,IS_A
Saga Petroleum,petroleum industry,IN_INDUSTRY
Devon Energy,business,IS_A
Devon Energy,enterprise,IS_A
Devon Energy,petroleum industry,IN_INDUSTRY
Devon Energy,public company,IS_A
Devon Energy,New York Stock Exchange,TRADES_ON
Petro-Canada,business,IS_A
Petro-Canada,enterprise,IS_A
Petro-Canada,petroleum industry,IN_INDUSTRY
Petro-Canada,joint-stock company,IS_A
Petro-Canada,Suncor Energy,OWNED_BY
HC Kompanion-Naftogaz,ice hockey team,IS_A
HC Kompanion-Naftogaz,petroleum industry,IN_INDUSTRY
EOG Resources,public company,IS_A
EOG Resources,business,IS_A
EOG Resources,enterprise,IS_A
EOG Resources,petroleum industry,IN_INDUSTRY
EOG Resources,joint-stock company,IS_A
EOG Resources,New York Stock Exchange,TRADES_ON
East Mediterranean Gas Company,petroleum industry,IN_INDUSTRY
Naftna Industrija Srbije,business,IS_A
Naftna Industrija Srbije,enterprise,IS_A
Naftna Industrija Srbije,petroleum industry,IN_INDUSTRY
Naftna Industrija Srbije,joint-stock company,IS_A
Naftna Industrija Srbije,Belgrade Stock Exchange,TRADES_ON
Naftna Industrija Srbije,Gazprom Neft,OWNED_BY
Naftna Industrija Srbije,Government of Serbia,OWNED_BY
Ecopetrol,enterprise,IS_A
Ecopetrol,business,IS_A
Ecopetrol,petroleum industry,IN_INDUSTRY
Ecopetrol,S.A.,IS_A
Ecopetrol,New York Stock Exchange,TRADES_ON
Ecopetrol,Toronto Stock Exchange,TRADES_ON
Valero Energy Corporation,business,IS_A
Valero Energy Corporation,enterprise,IS_A
Valero Energy Corporation,petroleum industry,IN_INDUSTRY
Valero Energy Corporation,S.A.,IS_A
Valero Energy Corporation,New York Stock Exchange,TRADES_ON
Indian Oil Corporation,business,IS_A
Indian Oil Corporation,enterprise,IS_A
Indian Oil Corporation,petroleum industry,IN_INDUSTRY
Indian Oil Corporation,public company,IS_A
Indian Oil Corporation,Government of India,OWNED_BY
Sinclair Oil Corporation,business,IS_A
Sinclair Oil Corporation,petroleum industry,IN_INDUSTRY
TransMontaigne,business,IS_A
TransMontaigne,petroleum industry,IN_INDUSTRY
TransMontaigne,New York Stock Exchange,TRADES_ON
Gulf Oil,business,IS_A
Gulf Oil,petroleum industry,IN_INDUSTRY
Gulf Oil,privately held company,IS_A
Egyptian General Petroleum Corporation,business,IS_A
Egyptian General Petroleum Corporation,government-owned corporation,IS_A
Egyptian General Petroleum Corporation,petroleum industry,IN_INDUSTRY
Egyptian General Petroleum Corporation,natural resource,IN_INDUSTRY
Supermajor,petroleum industry,IN_INDUSTRY
Empresa Nacional del Petróleo,business,IS_A
Empresa Nacional del Petróleo,petroleum industry,IN_INDUSTRY
Energias de Portugal,business,IS_A
Energias de Portugal,petroleum industry,IN_INDUSTRY
Energias de Portugal,sociedade anónima,IS_A
Energias de Portugal,Euronext Lisbon,TRADES_ON
